schema_version,tic,sector,cadence_s,n_epochs,var_amplitude_ppt,rotation_period_d,rotation_power,rotation_systematic,n_flares,is_dipper,n_dips,var_class,tool_version
1,165550969,15,120,15786,1.3146339407781398,,0.004267648397692607,False,0,False,0,quiet,0.2.0
1,165551886,15,120,16331,1.717379593849182,,0.0021965553113180254,False,0,False,0,quiet,0.2.0
1,165553033,15,120,16342,1.8965052723884581,10.016891497132203,0.38759533847062555,False,0,False,0,rotator,0.2.0
1,165555303,15,120,16343,0.903404939174652,,0.001984985169646859,False,0,False,0,quiet,0.2.0
1,165597292,15,120,14671,8.901848101615906,,0.020805615570976977,False,0,False,0,variable,0.2.0
1,165602023,15,120,12579,2.5572466135025023,,0.01748903149027444,False,0,False,0,quiet,0.2.0
1,165626458,15,120,14994,0.7759756207466124,,0.024980760534290887,False,0,False,0,quiet,0.2.0
1,165639167,15,120,14996,0.8403088688850402,,0.014153449141831514,False,0,False,0,quiet,0.2.0
1,165650748,15,120,14413,2.1601125240325927,1.9466835555358444,0.10174073020501778,False,0,False,0,rotator,0.2.0
1,165652012,15,120,14993,0.8655826449394226,,0.09747003794319195,False,0,False,0,quiet,0.2.0
1,165657559,15,120,14995,0.8039004921913147,1.7840795586461324,0.15773417951208307,False,0,False,0,rotator,0.2.0
1,165674133,15,120,12636,5.171536116943839,0.7076920292240505,0.5169511078990271,False,0,False,0,rotator,0.2.0
1,165687785,15,120,14994,0.9307111662202378,,0.016689573537451822,False,0,False,0,quiet,0.2.0
1,165721369,15,120,14996,1.5934849742957964,6.065863214708088,0.23352867560610444,False,0,False,0,rotator,0.2.0
1,165721718,15,120,14996,0.66330406665802,,0.09353001584548945,False,0,False,0,quiet,0.2.0
1,165735824,15,120,14842,2.9523040995688468,,0.019161493797715597,False,0,False,0,quiet,0.2.0
1,165849794,15,120,12448,6.055896839147994,,0.00823732558038491,False,0,False,0,variable,0.2.0
1,165990411,15,120,15711,0.46977410316467283,,0.001993178208804394,False,0,False,0,quiet,0.2.0
1,165991181,15,120,14726,1.5483722627162932,,0.0009026910734631129,False,0,False,0,quiet,0.2.0
1,166004965,15,120,14125,3.5484911799430847,,0.0033853383340683822,False,0,False,0,quiet,0.2.0
1,166012100,15,120,15020,1.8901867720429069,6.745736335586544,0.4256687334989865,False,0,False,0,rotator,0.2.0
1,166052517,15,120,15715,0.9725985288619994,,0.09489726745648445,False,0,False,0,quiet,0.2.0
1,166054445,15,120,15716,0.38175773620605463,,0.03489114463745999,False,0,False,0,quiet,0.2.0
1,166064484,15,120,15033,0.9886818408966064,,0.002440734354666373,False,0,False,0,quiet,0.2.0
1,166064773,15,120,15715,0.5635345101356506,,0.001066657332794319,False,0,False,0,quiet,0.2.0
